"pl_name";"hostname";"sy_mnum";"cb_flag";"disc_year";"pl_orbsmax";"pl_rade";"st_teff";"st_rad";"sy_dist"
"11 Com b";"11 Com";0;0;2007;1.178;12.2;4874;13.76;93.1846
"11 UMi b";"11 UMi";0;0;2009;1.53;12.3;4213;29.79;125.321
"14 And b";"14 And";0;0;2008;0.775;13.1;4888;11.55;75.4392
"14 Her b";"14 Her";0;0;2002;2.774;12.6;5338;0.93;17.9323
"16 Cyg B b";"16 Cyg B";0;0;1996;1.66;13.5;5750;1.13;21.1397
"17 Sco b";"17 Sco";0;0;2020;1.45;12.9;4157;25.92;124.953
"18 Del b";"18 Del";0;0;2008;2.476;12.5;4980;8.8;76.222
"1RXS J160929.1-210524 b";"1RXS J160929.1-210524";0;0;2008;330.0;18.647;4060;1.31;139.135
"24 Boo b";"24 Boo";0;0;2018;0.194;13.9;4816;12.19;95.9863
"24 Sex b";"24 Sex";0;0;2010;1.333;13.4;5098;4.9;72.0691
"24 Sex c";"24 Sex";0;0;2010;2.08;13.9;5098;4.9;72.0691
"2M0437 b";"2MASS J04372171+2651014";0;0;2021;118.0;13.0;3100;0.84;128.484
"2MASS J01225093-2439505 b";"2MASS J01225093-2439505";0;0;2013;52.0;11.209;3530;0.37;33.8281
"2MASS J02192210-3925225 b";"2MASS J02192210-3925225";0;0;2015;156.0;16.141;3064;0.28;40.0896412
"2MASS J0249-0557 c";"2MASS J0249-0557 A";0;1;2018;1950.0;12.4;2859;0.32;66.0613
"2MASS J03590986+2009361 b";"2MASS J03590986+2009361";0;0;2024;572.0;12.2;2943;0.29;117.435
"2MASS J04414489+2301513 b";"2MASS J04414489+2301513";0;0;2010;15.0;12.6;2936;0.23;120.423987
"2MASS J11550485-7919108 b";"2MASS J11550485-7919108";0;0;2024;587.0;12.1;3021;0.6;100.862
"2MASS J12073346-3932539 b";"2MASS J12073346-3932539";0;0;2004;55.0;12.9;2825;0.22;64.308
"2MASS J19383260+4603591 b";"2MASS J19383260+4603591";0;1;2015;0.92;13.4;29564;0.2;396.332
"2MASS J21252752-8138278 b";"2MASS J21252752-8138278";0;0;2024;7493.0;12.4;3592;0.67;34.1154
"2MASS J22362452+4751425 b";"2MASS J22362452+4751425";0;0;2016;230.0;12.3;4045;0.64;69.5737
"30 Ari B b";"30 Ari B";0;0;2009;0.99;12.3;6331;1.41;44.657
"4 UMa b";"4 UMa";0;0;2006;0.877;12.6;4415;18.11;73.4603
"42 Dra b";"42 Dra";0;0;2008;1.19;13.0;4200;22.03;90.6545
"47 UMa b";"47 UMa";0;0;1996;2.1;13.2;5872;1.21;13.7967
"47 UMa c";"47 UMa";0;0;2001;3.6;14.2;5872;1.21;13.7967
"47 UMa d";"47 UMa";0;0;2009;11.6;13.5;5872;1.21;13.7967
"51 Eri b";"51 Eri";0;0;2015;13.2;13.4;7295;1.49;29.7575
"51 Peg b";"51 Peg";0;0;1995;0.0527;14.3;5758;1.18;15.4614
"55 Cnc b";"55 Cnc";0;0;1996;0.1134;13.9;5172;0.94;12.5855
"55 Cnc c";"55 Cnc";0;0;2004;0.2373;8.51;5172;0.94;12.5855
"55 Cnc d";"55 Cnc";0;0;2002;5.957;13.0;5172;0.94;12.5855
"55 Cnc e";"55 Cnc";0;0;2004;0.01544;1.875;5172;0.94;12.5855
"55 Cnc f";"55 Cnc";0;0;2007;0.7708;7.59;5172;0.94;12.5855
"6 Lyn b";"6 Lyn";0;0;2008;2.028;13.4;4941;4.94;54.6599
"61 Vir b";"61 Vir";0;0;2009;0.050201;2.11;5577;0.96;8.50332
"61 Vir c";"61 Vir";0;0;2009;0.2175;4.46;5577;0.96;8.50332
"61 Vir d";"61 Vir";0;0;2009;0.476;5.11;5577;0.96;8.50332
"7 CMa b";"7 CMa";0;0;2011;1.758;13.4;4826;4.87;19.8101
"7 CMa c";"7 CMa";0;0;2019;2.153;13.9;4826;4.87;19.8101
"70 Vir b";"70 Vir";0;0;1996;0.481;12.6;5495;1.89;17.9011
"75 Cet b";"75 Cet";0;0;2012;1.912;13.3;4809;10.38;82.9613
"75 Cet c";"75 Cet";0;0;2023;3.929;13.9;4809;10.38;82.9613
"8 UMi b";"8 UMi";0;0;2015;0.49;13.6;4847;10.3;162.552
"81 Cet b";"81 Cet";0;0;2008;2.104;13.1;4734;11.21;101.26
"91 Aqr b";"91 Aqr";0;0;2013;0.7;13.1;4665;11.0;44.0304
"AB Aur b";"AB Aur";0;0;2022;93.9;12.5;9770;2.96;162.127
"AB Pic b";"AB Pic";0;0;2005;260.0;12.3;5285;1.0;50.0475
"AF Lep b";"AF Lep";0;0;2023;8.4;13.1;6130;1.25;26.8564
"AU Mic b";"AU Mic";0;0;2020;0.0649;3.957;3678;0.74;9.7221
"AU Mic c";"AU Mic";0;0;2021;0.1108;2.522;3678;0.74;9.7221
"BD+03 2562 b";"BD+03 2562";0;0;2017;1.3;12.7;4095;32.35;1070.63
"BD+14 4559 b";"BD+14 4559";0;0;2009;0.78;13.8;4864;0.86;49.352
"BD+15 2375 b";"BD+15 2375";0;0;2016;0.576;13.8;4649;8.95;768.045
"BD+15 2940 b";"BD+15 2940";0;0;2013;0.539;13.7;4796;14.7;426.42
"BD+20 2457 b";"BD+20 2457";0;0;2009;1.45;12.1;4137;49.0;1539.71
"BD+20 2457 c";"BD+20 2457";0;0;2009;2.01;12.4;4137;49.0;1539.71
"BD+20 274 b";"BD+20 274";0;0;2012;1.3;13.0;4296;17.3;1322.51
"BD+20 594 b";"BD+20 594";0;0;2016;0.241;2.578;5766;1.08;179.461
"BD+45 564 b";"BD+45 564";0;0;2021;0.83;13.6;5004;0.81;53.622
"BD+48 738 b";"BD+48 738";0;0;2011;1.0;13.9;4414;11.0;871.493
"BD+48 740 b";"BD+48 740";0;0;2018;1.7;13.5;4534;10.33;666.589
"BD+49 828 b";"BD+49 828";0;0;2015;4.2;13.5;4943;7.6;442.042
"BD+55 362 b";"BD+55 362";0;0;2021;0.78;14.0;5012;0.9;52.5697
"BD+60 1417 b";"BD+60 1417";0;0;2021;1662.0;14.684;4993;0.8;44.9543
"BD+63 1405 b";"BD+63 1405";0;0;2021;2.06;12.4;5000;0.8;38.0473
"BD-06 1339 b";"BD-06 1339";0;0;2013;0.0428;2.85;4324;0.69;20.2695
"BD-06 1339 c";"BD-06 1339";0;0;2013;0.435;8.38;4324;0.69;20.2695
"BD-08 2823 b";"BD-08 2823";0;0;2009;0.06;3.61;4816;0.71;41.3342
"BD-08 2823 c";"BD-08 2823";0;0;2009;0.68;12.5;4746;0.72;41.3342
"BD-10 3166 b";"BD-10 3166";0;0;2000;0.04;14.1;5393;0.91;84.4069
"BD-11 4672 b";"BD-11 4672";0;0;2014;2.36;14.1;4550;0.64;27.1665
"BD-11 4672 c";"BD-11 4672";0;0;2020;0.3;4.04;4550;0.64;27.1665
"BD-13 2130 b";"BD-13 2130";0;0;2007;1.66;12.5;4545;19.17;925.214
"BD-14 3065 b";"BD-14 3065 A";0;0;2024;0.0656;21.59;6935;2.35;589.423
"BD-17 63 b";"BD-17 63";0;0;2008;1.34;12.8;4714;0.74;34.4603
"BD-210397 b";"BD-210397";0;0;2023;2.63;14.0;4051;0.75;23.7324
"BD-210397 c";"BD-210397";0;0;2023;5.9;12.9;4051;0.75;23.7324
"Barnard b";"Barnard's star";0;0;2024;0.02294;0.764;3195;0.18;1.82655
"CD Cet b";"CD Cet";0;0;2020;0.0185;1.82;3130;0.17;8.60715
"CI Tau c";"CI Tau";0;0;2024;0.17;13.0;3807;1.88;157.998
"COCONUTS-2 b";"COCONUTS-2 A";0;0;2021;7506.0;12.442;3406;0.39;10.8864
"CT Cha b";"CT Cha";0;0;2007;440.0;24.66;4403;1.68;190.72
"CoRoT-1 b";"CoRoT-1";0;0;2008;0.02752;16.7;5950;1.11;787.909
"CoRoT-10 b";"CoRoT-10";0;0;2010;0.1055;10.87;4921;0.79;338.386
"CoRoT-11 b";"CoRoT-11";0;0;2010;0.0436;16.03;6440;1.37;655.037
"CoRoT-12 b";"CoRoT-12";0;0;2010;0.04016;16.14;5675;1.05;1126.37
"CoRoT-13 b";"CoRoT-13";0;0;2010;0.051;9.92;5945;1.01;1148.93
"CoRoT-14 b";"CoRoT-14";0;0;2010;0.027;12.22;6035;1.21;1744.6
"CoRoT-16 b";"CoRoT-16";0;0;2011;0.0618;13.11;5650;1.19;732.409
"CoRoT-17 b";"CoRoT-17";0;0;2011;0.0461;11.43;5740;1.59;1176.12
"CoRoT-18 b";"CoRoT-18";0;0;2011;0.0295;14.68;5440;0.88;764.889
"CoRoT-19 b";"CoRoT-19";0;0;2011;0.0518;14.46;6090;1.65;790.663
"CoRoT-2 b";"CoRoT-2";0;0;2008;0.02798;16.432;5625;0.91;213.283
"CoRoT-20 b";"CoRoT-20";0;0;2011;0.09;9.416;4948;1.37;844.061
"CoRoT-20 c";"CoRoT-20";0;0;2018;2.9;12.2;4948;1.37;844.061
"CoRoT-21 b";"CoRoT-21";0;0;2012;0.0417;14.572;6200;1.95;1398.834197
"CoRoT-22 b";"CoRoT-22";0;0;2014;0.092;4.88;5939;1.14;627.158
"CoRoT-23 b";"CoRoT-23";0;0;2011;0.048;11.77;5900;1.61;1060.97
"CoRoT-24 b";"CoRoT-24";0;0;2014;0.056;3.7;4950;0.86;591.555
"CoRoT-24 c";"CoRoT-24";0;0;2014;0.098;5.0;4950;0.86;591.555
"CoRoT-25 b";"CoRoT-25";0;0;2013;0.0578;12.11;6040;1.19;1103.48
"CoRoT-26 b";"CoRoT-26";0;0;2013;0.0526;14.12;5590;1.79;1045.18
"CoRoT-27 b";"CoRoT-27";0;0;2014;0.0476;11.287;5900;1.08;1010.28
"CoRoT-28 b";"CoRoT-28";0;0;2015;0.0603;10.705;5150;1.78;766.183
"CoRoT-29 b";"CoRoT-29";0;0;2015;0.0386;10.088;5260;0.9;806.507
"CoRoT-3 b";"CoRoT-3";0;0;2008;0.05783;11.32;6740;1.56;768.771
"CoRoT-30 b";"CoRoT-30";0;0;2020;0.0844;11.31;5650;0.91;1032.23
"CoRoT-31 b";"CoRoT-31";0;0;2020;0.0586;16.365;5700;2.15;2005.76
"CoRoT-35 b";"CoRoT-35";0;0;2022;0.0429;18.831;6390;1.65;1123.21
"CoRoT-36 b";"CoRoT-36";0;0;2022;0.066;15.805;6730;1.52;925.958
"CoRoT-4 b";"CoRoT-4";0;0;2008;0.09;13.34;6190;1.17;726.412
"CoRoT-5 b";"CoRoT-5";0;0;2009;0.04947;15.558;6254;1.11;882.472
"CoRoT-6 b";"CoRoT-6";0;0;2009;0.0855;13.068;6090;1.03;645.294
"CoRoT-7 b";"CoRoT-7";0;0;2009;0.017016;1.681;5275;0.83;159.906
"CoRoT-7 c";"CoRoT-7";0;0;2009;0.046;2.83;5256;0.86;159.906
"CoRoT-8 b";"CoRoT-8";0;0;2010;0.063;6.39;5080;0.8;322.037
"CoRoT-9 b";"CoRoT-9";0;0;2009;0.4021;11.949;5625;0.96;412.98
"CoRoTID 223977153 b";"CoRoTID 223977153";0;0;2017;0.071;6.389;5970;0.79;576.683
"DE CVn b";"DE CVn";0;1;2018;5.75;12.4;3579;0.42;30.5225
"DH Tau b";"DH Tau";0;0;2004;330.0;30.264;4371;0.27;134.846
"DMPP-1 b";"DMPP-1";0;0;2019;0.1462;5.29;6196;1.26;62.5388
"DMPP-1 c";"DMPP-1";0;0;2019;0.0733;3.06;6196;1.26;62.5388
"DMPP-1 d";"DMPP-1";0;0;2019;0.0422;1.65;6196;1.26;62.5388
"DMPP-1 e";"DMPP-1";0;0;2019;0.0651;1.86;6196;1.26;62.5388
"DMPP-2 b";"DMPP-2";0;0;2019;0.0664;14.3;6500;1.78;137.94
"DMPP-3 A b";"DMPP-3 A";0;0;2019;0.0662;1.41;5138;0.91;45.23
"DMPP-4 b";"DMPP-4";0;0;2023;0.04853;3.53;6400;1.38;25.3284
"DP Leo b";"DP Leo";0;1;2009;8.19;12.7;13500;0.01;305.684
"EPIC 201170410.02";"EPIC 201170410";0;0;2020;0.0349;1.047;3648;0.28;134.0
"EPIC 201595106 b";"EPIC 201595106";0;0;2021;0.0177;1.565;5679;0.98;232.1
"EPIC 201757695.02";"EPIC 201757695";0;0;2020;0.0296;0.908;4520;0.66;577.6
"EPIC 201841433 b";"EPIC 201841433";0;0;2019;0.035;1.04;5053;0.63;436.488
"EPIC 211822797 b";"EPIC 211822797";0;0;2016;0.1195;1.92;4057;0.58;186.197
"EPIC 211945201 b";"EPIC 211945201";0;0;2018;0.1493;5.76;6069;1.39;181.69
"EPIC 212737443 b";"EPIC 212737443";0;0;2019;0.098;2.586;4684;0.67;336.25
"EPIC 212737443 c";"EPIC 212737443";0;0;2019;0.28;2.69;4684;0.67;336.25
"EPIC 220674823 b";"EPIC 220674823";0;0;2016;0.01326;1.725;5532;0.99;244.59
"EPIC 220674823 c";"EPIC 220674823";0;0;2016;0.1083;2.836;5532;0.99;244.59
"EPIC 229004835 b";"EPIC 229004835";0;0;2023;0.1237;2.332;5868;1.0;121.971
"EPIC 246851721 b";"EPIC 246851721";0;0;2018;0.07229;11.781;6202;1.59;372.632
"EPIC 248847494 b";"EPIC 248847494";0;0;2018;4.5;12.442;4898;2.7;551.886
"EPIC 249893012 b";"EPIC 249893012";0;0;2020;0.047;1.95;5430;1.71;321.296
"EPIC 249893012 c";"EPIC 249893012";0;0;2020;0.13;3.67;5430;1.71;321.296
"EPIC 249893012 d";"EPIC 249893012";0;0;2020;0.22;3.94;5430;1.71;321.296
"G 196-3 b";"G 196-3";0;0;2024;350.0;12.0;3517;0.52;21.7912
"G 264-012 b";"G 264-012";0;0;2021;0.02279;1.39;3326;0.3;16.009
"G 264-012 c";"G 264-012";0;0;2021;0.0525;1.76;3326;0.3;16.009
"G 9-40 b";"G 9-40";0;0;2019;0.0418;1.9;3395;0.3;27.9276
"GJ 1002 b";"GJ 1002";0;0;2022;0.0457;1.03;3024;0.14;4.84867
"GJ 1002 c";"GJ 1002";0;0;2022;0.0738;1.1;3024;0.14;4.84867
"GJ 1061 b";"GJ 1061";0;0;2020;0.021;1.1;2953;0.16;3.67278
"GJ 1061 c";"GJ 1061";0;0;2020;0.035;1.18;2953;0.16;3.67278
"GJ 1061 d";"GJ 1061";0;0;2020;0.054;1.16;2953;0.16;3.67278
"GJ 1132 b";"GJ 1132";0;0;2015;0.0157;1.192;3229;0.22;12.613
"GJ 1132 c";"GJ 1132";0;0;2018;0.0476;1.43;3270;0.21;12.613
"GJ 1148 b";"GJ 1148";0;0;2010;0.166;11.9;3287;0.36;11.0143
"GJ 1148 c";"GJ 1148";0;0;2017;0.912;9.71;3287;0.36;11.0143
"GJ 1151 c";"GJ 1151";0;0;2023;0.5714;3.25;3280;0.18;8.03625
"GJ 1214 b";"GJ 1214";0;0;2009;0.01505;2.733;3101;0.22;14.6427
"GJ 1252 b";"GJ 1252";0;0;2020;0.00915;1.193;3458;0.39;20.373
"GJ 1265 b";"GJ 1265";0;0;2018;0.026;2.63;3236;0.19;10.2525
"GJ 143 b";"GJ 143";0;0;2019;0.1915;2.61;4640;0.7;16.32
"GJ 15 A b";"GJ 15 A";0;0;2014;0.072;1.55;3607;0.38;3.56228
"GJ 15 A c";"GJ 15 A";0;0;2018;5.4;6.67;3607;0.38;3.56228
"GJ 160.2 b";"GJ 160.2";0;0;2014;0.053;3.17;4347;0.66;25.8557
"GJ 163 b";"GJ 163";0;0;2013;0.0607;3.25;3500;0.41;15.1285
"GJ 163 c";"GJ 163";0;0;2013;0.1254;2.5;3500;0.41;15.1285
"GJ 163 d";"GJ 163";0;0;2013;1.0304;5.92;3500;0.41;15.1285
"GJ 179 b";"GJ 179";0;0;2009;2.41;13.8;3370;0.38;12.356
"GJ 180 b";"GJ 180";0;0;2014;0.092;2.43;3371;0.41;11.9407
"GJ 180 c";"GJ 180";0;0;2014;0.129;2.41;3371;0.41;11.9407
"GJ 180 d";"GJ 180";0;0;2020;0.309;2.66;3812;0.41;11.9407
"GJ 2030 b";"GJ 2030";0;0;2022;0.034;2.03;5485;2.24;37.0788
"GJ 2030 c";"GJ 2030";0;0;2022;16.761;12.3;5485;2.24;37.0788
"GJ 2056 b";"GJ 2056";0;0;2020;0.283;4.17;4070;0.71;28.4434
"GJ 229 A c";"GJ 229";0;0;2020;0.384;2.87;3913;0.46;5.75624
"GJ 229 b";"GJ 229";0;0;2014;1.086;3.97;3913;0.46;5.75624
"GJ 238 b";"GJ 238";0;0;2024;0.02123;0.566;3485;0.43;15.2142
"GJ 251 b";"GJ 251";0;0;2020;0.0818;1.83;3451;0.36;5.58057
"GJ 27.1 b";"GJ 27.1";0;0;2014;0.101;3.66;3542;0.52;23.6062
"GJ 273 b";"GJ 273";0;0;2017;0.091101;1.51;3382;0.29;5.921535
"GJ 273 c";"GJ 273";0;0;2017;0.036467;1.06;3382;0.29;5.921535
"GJ 3021 b";"GJ 3021";0;0;2000;0.49;13.1;5540;0.9;17.5559
"GJ 3082 b";"GJ 3082";0;0;2020;0.079;2.79;3910;0.47;16.6186
"GJ 3090 b";"GJ 3090";0;0;2022;0.03165;2.13;3556;0.52;22.4751
"GJ 3138 b";"GJ 3138";0;0;2017;0.0197;1.18;3717;0.5;28.4712
"GJ 3138 c";"GJ 3138";0;0;2017;0.057;1.88;3717;0.5;28.4712
"GJ 3138 d";"GJ 3138";0;0;2017;0.698;3.23;3717;0.5;28.4712
"GJ 317 b";"GJ 317";0;0;2007;1.151;13.3;3493;0.43;15.1968
"GJ 317 c";"GJ 317";0;0;2018;5.23;13.5;3493;0.43;15.1968
"GJ 3222 b";"GJ 3222";0;0;2022;0.091;3.4;5257;0.93;18.23817
"GJ 328 b";"GJ 328";0;0;2013;4.11;13.3;3897;0.63;20.5266
"GJ 328 c";"GJ 328";0;0;2023;0.657;4.91;3897;0.63;20.5266
"GJ 3293 b";"GJ 3293";0;0;2015;0.14339;5.19;3466;0.4;20.1903
"GJ 3293 c";"GJ 3293";0;0;2015;0.36175;4.87;3466;0.4;20.1903
"GJ 3293 d";"GJ 3293";0;0;2017;0.19394;2.67;3466;0.4;20.1903
"GJ 3293 e";"GJ 3293";0;0;2017;0.08208;1.63;3466;0.4;20.1903
"GJ 3323 b";"GJ 3323";0;0;2017;0.03282;1.23;3159;0.12;5.37484
"GJ 3323 c";"GJ 3323";0;0;2017;0.1264;1.32;3159;0.12;5.37484
"GJ 3341 b";"GJ 3341";0;0;2015;0.089;2.46;3526;0.44;23.619
"GJ 338 B b";"GJ 338 B";0;0;2020;0.142;3.25;4014;0.58;6.33256
"GJ 3470 b";"GJ 3470";0;0;2012;0.0355;4.57;3652;0.5;29.4214
"GJ 3473 b";"GJ 3473";0;0;2020;0.01589;1.264;3347;0.36;27.3644
"GJ 3473 c";"GJ 3473";0;0;2020;0.0876;2.63;3347;0.36;27.3644
"GJ 3512 b";"GJ 3512";0;0;2019;0.337;14.3;3081;0.14;9.48637
"GJ 3512 c";"GJ 3512";0;0;2020;1.292;9.32;3081;0.14;9.48637
"GJ 357 b";"GJ 357";0;0;2019;0.036;1.2;3505;0.34;9.44181
"GJ 357 c";"GJ 357";0;0;2019;0.061;1.66;3505;0.34;9.44181
"GJ 357 d";"GJ 357";0;0;2019;0.204;2.34;3505;0.34;9.44181
"GJ 3634 b";"GJ 3634";0;0;2010;0.0287;2.83;3517;0.43;20.3779
"GJ 367 b";"GJ 367";0;0;2021;0.00709;0.699;3522;0.46;9.41263
"GJ 3779 b";"GJ 3779";0;0;2018;0.026;2.75;3324;0.28;13.743
"GJ 3929 b";"GJ 3929";0;0;2022;0.0252;1.09;3384;0.32;15.8095
"GJ 3929 c";"GJ 3929";0;0;2022;0.081;2.26;3384;0.32;15.8095
"GJ 393 b";"GJ 393";0;0;2021;0.05402;1.17;3579;0.43;7.03149
"GJ 3942 b";"GJ 3942";0;0;2017;0.0608;2.57;3867;0.61;16.9287
"GJ 3988 b";"GJ 3988";0;0;2023;0.0405;1.74;3273;0.2;9.9105
"GJ 3998 b";"GJ 3998";0;0;2016;0.029;1.38;3722;0.49;18.1459
"GJ 3998 c";"GJ 3998";0;0;2016;0.089;2.38;3722;0.49;18.1459
"GJ 411 b";"GJ 411";0;0;2019;0.07879;1.45;3719;0.37;5.675773
"GJ 414 A b";"GJ 414 A";0;0;2021;0.2324;2.63;4120;0.68;11.8893
"GJ 414 A c";"GJ 414 A";0;0;2021;1.4;8.4;4120;0.68;11.8893
"GJ 422 b";"GJ 422";0;0;2014;0.111;3.33;3323;0.37;12.6631
"GJ 4276 b";"GJ 4276";0;0;2019;0.082;4.22;3387;0.41;21.3362
"GJ 433 b";"GJ 433";0;0;2011;0.062;2.33;3461;0.5;9.06456
"GJ 433 c";"GJ 433";0;0;2014;4.819;6.27;3472;0.47;9.06456
"GJ 433 d";"GJ 433";0;0;2020;0.178;2.14;3461;0.47;9.06456
"GJ 436 b";"GJ 436";0;0;2004;0.0291;4.17;3586;0.46;9.75321
"GJ 463 b";"GJ 463";0;0;2022;3.53;13.0;3540;0.49;18.3554
"GJ 480 b";"GJ 480";0;0;2020;0.068;3.69;3381;0.46;14.2358
"GJ 486 b";"GJ 486";0;0;2021;0.01714;1.289;3317;0.32;8.07426
"GJ 504 b";"GJ 504";0;0;2013;43.5;13.0;6234;1.26;17.5299
"GJ 514 b";"GJ 514";0;0;2022;0.422;2.13;3728;0.5;7.61778
"GJ 536 b";"GJ 536";0;0;2016;0.06661;2.17;3685;0.5;10.4092
"GJ 581 b";"GJ 581";0;0;2005;0.04061;4.11;3396;0.33;6.2981
"GJ 581 c";"GJ 581";0;0;2007;0.0721;2.21;3396;0.33;6.2981
"GJ 581 e";"GJ 581";0;0;2009;0.02815;1.17;3396;0.33;6.2981
"GJ 625 b";"GJ 625";0;0;2017;0.078361;1.49;3499;0.31;6.47249
"GJ 649 b";"GJ 649";0;0;2009;1.112;10.8;3734;0.5;10.3796
"GJ 674 b";"GJ 674";0;0;2007;0.039;3.33;3600;0.36;4.54896
"GJ 676 A b";"GJ 676 A";0;0;2010;1.735;12.8;3734;0.69;16.0272
"GJ 676 A c";"GJ 676 A";0;0;2016;9.726;12.3;4006;0.65;16.0272
"GJ 676 A d";"GJ 676 A";0;0;2012;0.039;1.78;4006;0.65;16.0272
"GJ 676 A e";"GJ 676 A";0;0;2012;0.181;2.47;4006;0.65;16.0272
"GJ 680 b";"GJ 680";0;0;2022;10.138;12.0;3563;0.46;9.67315
"GJ 682 b";"GJ 682";0;0;2014;0.08;1.93;3028;0.3;5.00671
"GJ 682 c";"GJ 682";0;0;2014;0.176;2.89;3028;0.3;5.00671
"GJ 685 b";"GJ 685";0;0;2019;0.1344;2.95;3816;0.54;14.3155
"GJ 687 b";"GJ 687";0;0;2014;0.163;4.32;3413;0.42;4.54939
"GJ 687 c";"GJ 687";0;0;2020;1.165;4.14;3413;0.42;4.54939
"GJ 720 A b";"GJ 720 A";0;0;2021;0.119;3.77;3837;0.56;15.5575
"GJ 724 b";"GJ 724";0;0;2023;0.04685;3.27;3799;0.52;16.9658
"GJ 740 b";"GJ 740";0;0;2021;0.029;1.53;3913;0.56;11.1017
"GJ 806 b";"GJ 806";0;0;2023;0.01406;1.331;3600;0.41;12.0445
"GJ 806 c";"GJ 806";0;0;2023;0.0523;2.28;3600;0.41;12.0445
"GJ 832 b";"GJ 832";0;0;2008;3.7;13.8;3472;0.44;4.96435
"GJ 849 b";"GJ 849";0;0;2006;2.32;13.9;3467;0.45;8.80058
"GJ 849 c";"GJ 849";0;0;2014;4.95;13.8;3467;0.45;8.80058
"GJ 86 b";"GJ 86";0;0;1999;0.11;12.9;5182;0.77;10.7836
"GJ 876 b";"GJ 876";0;0;1998;0.208317;13.3;3294;0.3;4.67517
"GJ 876 c";"GJ 876";0;0;2000;0.12959;14.0;3294;0.3;4.67517
"GJ 876 d";"GJ 876";0;0;2005;0.020807;2.51;3294;0.3;4.67517
"GJ 876 e";"GJ 876";0;0;2010;0.3343;3.92;3271;0.3;4.67517
"GJ 887 b";"GJ 887";0;0;2020;0.068;1.88;3688;0.47;3.29
"GJ 887 c";"GJ 887";0;0;2020;0.12;2.67;3688;0.47;3.29
"GJ 896 A b";"GJ 896 A";0;0;2022;0.63965;13.3;3345;0.39;6.26022
"GJ 900 b";"GJ 900 A";0;0;2024;12000.0;12.4;3976;0.72;20.8065
"GJ 9066 c";"GJ 9066";0;0;2020;0.88;9.6;3154;0.16;4.471
"GJ 9404 b";"GJ 9404";0;0;2023;0.0943;3.48;3811;0.63;23.8839
"GJ 96 b";"GJ 96";0;0;2018;0.291;4.67;3785;0.58;11.9315
"GJ 9689 b";"GJ 9689";0;0;2020;0.1139;3.07;3836;0.57;30.6203
"GJ 9714 b";"GJ 9714";0;0;2022;12.319;12.5;4263;0.66;20.5121
"GJ 9827 b";"GJ 9827";0;0;2017;0.0189;1.44;4236;0.6;29.661
"GJ 9827 c";"GJ 9827";0;0;2017;0.0395;1.13;4236;0.6;29.661
"GJ 9827 d";"GJ 9827";0;0;2017;0.053;1.98;4236;0.6;29.661
"GPX-1 b";"GPX-1";0;0;2021;0.0338;16.477;7000;1.56;655.013
"GQ Lup b";"GQ Lup";0;0;2004;100.0;33.6;4360;1.94;151.169
"GSC 06214-00210 b";"GSC 06214-00210";0;0;2010;320.0;20.176;4200;0.9;108.5
"GU Psc b";"GU Psc";0;0;2014;2000.0;14.179;4032;0.45;47.5501
"Gaia-1 b";"Gaia-1";0;0;2022;0.04047;13.776;5470;0.95;363.66
"Gaia-2 b";"Gaia-2";0;0;2022;0.0467;14.818;5720;1.06;209.229
"Gl 378 b";"Gl 378";0;0;2019;0.039435;3.66;3879;0.56;14.9545
"Gl 49 b";"Gl 49";0;0;2019;0.0905;2.24;3805;0.51;9.8528
"Gl 686 b";"Gl 686";0;0;2018;0.091;2.46;3656;0.43;8.15728
"Gliese 12 b";"Gliese 12";0;0;2024;0.0668;0.958;3296;0.26;12.21
"HAT-P-1 b";"HAT-P-1";0;0;2006;0.05561;14.785;5980;1.17;158.979
"HAT-P-11 b";"HAT-P-11";0;0;2008;0.0532;4.901;4653;0.68;37.7647
"HAT-P-11 c";"HAT-P-11";0;0;2018;4.13;13.3;4653;0.68;37.7647
"HAT-P-12 b";"HAT-P-12";0;0;2009;0.0384;10.749;4650;0.7;142.751
"HAT-P-13 b";"HAT-P-13";0;0;2009;0.04383;14.258;5653;1.76;246.81
"HAT-P-13 c";"HAT-P-13";0;0;2009;1.258;12.3;5653;1.76;246.81
"HAT-P-14 b";"HAT-P-14";0;0;2010;0.0596;15.917;6600;1.82;222.663
"HAT-P-15 b";"HAT-P-15";0;0;2010;0.0965;11.882;5568;1.07;192.516
"HAT-P-16 b";"HAT-P-16";0;0;2010;0.0413;14.448;6158;1.24;226.637
"HAT-P-17 b";"HAT-P-17";0;0;2010;0.0882;11.769;5332;0.84;92.3831
"HAT-P-17 c";"HAT-P-17";0;0;2010;5.6;13.1;5332;0.84;92.3831
"HAT-P-18 b";"HAT-P-18";0;0;2010;0.0559;11.153;4803;0.75;161.4
"HAT-P-19 b";"HAT-P-19";0;0;2010;0.04599;11.299;4962;0.77;202.078
"HAT-P-2 b";"HAT-P-2";0;0;2007;0.06814;10.66;6380;1.39;127.774
"HAT-P-20 b";"HAT-P-20";0;0;2010;0.0361;9.718;4595;0.69;71.0374
"HAT-P-21 b";"HAT-P-21";0;0;2010;0.0494;12.442;5588;1.21;277.278
"HAT-P-22 b";"HAT-P-22";0;0;2010;0.0414;12.89;5302;1.11;81.7647
"HAT-P-23 b";"HAT-P-23";0;0;2010;0.0232;15.334;5905;1.2;364.813
"HAT-P-24 b";"HAT-P-24";0;0;2010;0.04651;14.572;6373;1.32;415.344
