"pl_name";"hostname";"sy_mnum";"cb_flag";"disc_year";"pl_orbsmax";"pl_rade";"st_teff";"st_rad";"sy_dist"
"Kepler-1235 b";"Kepler-1235";0;0;2016;0.04836;0.79;5541;0.9;540.604
"Kepler-1236 b";"Kepler-1236";0;0;2016;0.1803;2.14;5337;0.82;999.64
"Kepler-1237 b";"Kepler-1237";0;0;2016;0.3778;2.86;5472;0.9;1064.31
"Kepler-1238 b";"Kepler-1238";0;0;2016;0.0541;1.93;6386;1.48;1632.13
"Kepler-1239 b";"Kepler-1239";0;0;2016;0.0625;2.9;6564;1.57;2140.6
"Kepler-124 b";"Kepler-124";0;0;2014;0.039;0.73;4984;0.64;420.046
"Kepler-124 c";"Kepler-124";0;0;2014;0.1;1.75;4984;0.64;420.046
"Kepler-124 d";"Kepler-124";0;0;2014;0.17;1.11;4984;0.64;420.046
"Kepler-1240 b";"Kepler-1240";0;0;2016;0.05791;1.15;5682;0.96;862.186
"Kepler-1241 b";"Kepler-1241";0;0;2016;0.1336;2.63;5261;0.8;968.722
"Kepler-1242 b";"Kepler-1242";0;0;2016;0.1039;2.26;4895;0.74;687.615
"Kepler-1243 b";"Kepler-1243";0;0;2016;0.1256;1.75;5667;0.94;758.17
"Kepler-1244 b";"Kepler-1244";0;0;2016;0.0502;1.35;6680;1.77;1075.81
"Kepler-1245 b";"Kepler-1245";0;0;2016;0.0484;1.44;5306;0.83;805.936
"Kepler-1245 c";"Kepler-1245";0;0;2016;0.0372;1.44;5306;0.83;805.936
"Kepler-1246 b";"Kepler-1246";0;0;2016;0.0848;1.36;4611;0.69;436.505
"Kepler-1247 b";"Kepler-1247";0;0;2016;0.1091;2.33;5303;0.82;1045.92
"Kepler-1248 b";"Kepler-1248";0;0;2016;0.0806;1.18;6149;1.21;593.026
"Kepler-1249 b";"Kepler-1249";0;0;2016;0.167;2.38;6202;1.28;1904.54
"Kepler-125 b";"Kepler-125";0;0;2014;0.041;2.37;3810;0.51;183.365
"Kepler-125 c";"Kepler-125";0;0;2014;0.051;0.74;3810;0.51;183.365
"Kepler-1250 b";"Kepler-1250";0;0;2016;0.0393;1.92;5717;0.98;2126.85
"Kepler-1251 b";"Kepler-1251";0;0;2016;0.2478;1.84;5545;0.89;902.204
"Kepler-1252 b";"Kepler-1252";0;0;2016;0.1078;1.67;5949;1.09;648.979
"Kepler-1253 b";"Kepler-1253";0;0;2016;0.31444;1.33;5850;1.1;514.524
"Kepler-1254 b";"Kepler-1254";0;0;2016;0.0833;1.55;4985;0.75;622.818
"Kepler-1254 c";"Kepler-1254";0;0;2016;0.0422;1.3;4985;0.75;622.818
"Kepler-1254 d";"Kepler-1254";0;0;2016;0.0575;1.31;4985;0.75;622.818
"Kepler-1255 b";"Kepler-1255";0;0;2016;0.2226;2.32;6018;1.12;1617.07
